# Worldcrafter saved map.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Worldcrafter Save File,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
File Version,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Map_data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,60,,,,,,,,,23,,,,,,,,,,,,,,,,,,23,23
23,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,23
23,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,23
23,,,,,,,,,,23,,,,,,,,,,,,,,,,,,23,23
23,,,,23,23,23,23,23,23,23,,,,,23,23,23,23,23,23,23,23,23,23,7,23,23,23,23
23,,,,,,,,,,,,,,,,,,,,,,,,,7,,,23,23
23,,,,,,,,,,,,,,,,,,,,,,,,,7,,,23,23
23,,,,,,,,,,,,,,,,,,,,,,,,,7,,,23,23
23,,,,,,,,,,,,,,,,,,,,,,,,,7,,,23,23
23,,,,,,,23,,,,,,,,,23,,,,,,,,,7,,,23,23
23,23,23,23,7,23,23,23,23,,,,,23,23,23,23,23,,,,,23,23,23,23,,,23,23
23,,,,7,,,,,,,,,,,23,,,,,,,,,,,,,23,23
23,,,,7,,,,,,,,,,,23,,,,,,,,,,,,,23,23
23,,,,7,,,,,,,,,,,,,,,,,,,,,,,,23,23
23,,,,7,,,,,,,,,,,,,,,,,,,,,,,,23,23
23,,,,7,,,,,,,,,,,23,,,,,,,,,,,,,23,23
23,,,23,23,23,23,23,23,,,23,23,23,23,23,23,23,23,,,23,23,23,23,23,7,23,23,23
23,,,,,,,,,,,,,,,23,,,,,,,,,,,7,,23,23
23,,,,,,,,,,,,,,,23,,,,,,,,,,,7,,23,23
23,,,,,,,23,,,,,,,,,,,,,,,,23,,,7,,23,23
23,,,,,,,23,,,,,,,,,,,,,,,,23,,,7,,23,23
23,1,,,,,,23,,,,,,,,23,,,,,,,,23,,,7,,23,23
23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23
