# Worldcrafter saved map.,,,,,,,,,,,,,,,,,,,,,,,,,,
Worldcrafter Save File,,,,,,,,,,,,,,,,,,,,,,,,,,
File Version,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,,,,
Map_data,,,,,,,,,,,,,,,,,,,,,,,,,,
23,,,,,,,,,,,,,,,,,,,,16,,,16,16,,60
23,,,,,,,,,,,,,,,,,,,23,23,23,23,23,23,23,23
23,,,,,,,,,,,,,,,,,,23,23,23,23,23,23,23,23,23
23,,,,,,,,,,,,,,,,,23,23,,,,,31,,,23
23,,,,,,,,,,,,,,,,,,,,,,,31,,,23
50,,,,,,,,,,,,,,,,7,,,,31,31,31,31,,,23
50,,,,,,,33,33,33,,,,,,,7,,,,31,,,,,,23
50,,,,,,,43,43,43,,,,,,,7,,,,31,,,,,23,23
50,,,,,,,43,,43,,,,,,,7,,31,31,31,31,31,31,,23,23
50,,,,,,,43,,,,,,,,,7,,,,,,,31,,23,23
50,,,,,,,43,,,,,,,,,7,,31,,,,,31,,23,23
50,,,43,43,43,,43,,,,,,,,,7,,31,,30,,,31,,23,23
50,,,33,33,33,,,,,,31,31,31,31,31,7,31,31,31,,31,31,31,31,23,23
50,,,43,43,43,,,,42,2,,,,,,7,,,,,,31,,,23,23
50,,,43,43,43,,,,2,,,,,,,7,,,,,,31,,,23,23
50,,,43,43,,,,2,,,,,31,,,,,31,31,31,31,31,,,23,23
50,,,43,,,,2,,,,,31,,,31,,,31,,,,,,,23,23
50,,,,,,2,2,2,2,2,31,,,31,31,31,31,31,31,31,31,31,31,31,23,23
50,,,,,2,6,6,6,6,31,6,6,31,6,6,6,6,6,6,6,6,6,6,6,23,23
50,,,,2,6,6,6,6,31,6,6,31,6,6,6,6,6,6,6,6,6,6,6,6,23,23
50,,,2,16,16,16,16,31,16,16,31,16,16,16,16,16,16,16,16,16,16,16,16,16,23,23
50,16,1,16,16,16,16,31,16,16,31,16,16,16,16,16,16,16,16,16,16,16,16,16,16,23,23
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,23,23,23,23,23,23,23,23,23,23,23
