File Version,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Map_data,,,,M:9,M:9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,42,42,42,,,42,42,,43,43,,M:8,,,42,42,42,42,42,,M:8,,43,M:9,,M:8,,43,,,M:9,,,43,43,,,,43,33,33
31,25,25,25,25,16,5,5,33,33,33,33,62,,,33,33,33,33,,33,33,33,33,62,33,33,33,33,33,33,,33,33,33,,33,33,62,33,,33,33,33
31,,,,,16,5,5,16,16,16,16,62,,,16,16,16,16,,6,6,6,6,62,6,6,6,6,6,16,,5,5,5,,16,6,62,6,16,5,5,5
31,,,,,16,5,5,16,16,16,16,62,,,16,16,16,16,,6,6,6,6,62,6,6,6,6,6,16,,5,5,5,,16,6,62,6,16,5,5,5
31,,,,,16,5,5,16,16,16,16,62,,,16,16,16,16,,6,6,6,6,62,6,6,6,6,6,16,,5,5,5,,16,6,62,6,16,5,5,5
31,,,,,16,5,5,16,16,16,16,62,,,16,16,16,16,,6,6,6,6,62,6,6,6,6,6,16,,5,5,5,,16,6,62,6,16,5,5,5
31,25,25,25,25,16,5,5,16,16,16,16,62,,,16,16,16,16,,6,6,6,6,62,6,6,6,6,6,16,,5,5,5,,16,6,62,6,16,5,5,5
31,,,,,16,5,5,16,16,16,16,62,,,16,16,16,16,,6,6,6,6,62,6,6,6,6,6,16,,5,5,5,,16,6,62,6,16,5,5,5
31,,,,,16,5,5,16,16,16,16,62,,,16,16,16,16,,6,6,6,6,62,6,6,6,6,6,16,,5,5,5,,16,6,62,6,16,5,5,5
31,,,,,16,5,5,16,16,16,16,62,,,16,16,16,16,,6,6,6,6,62,6,6,6,6,6,16,,5,5,5,,16,6,62,6,16,5,5,5
31,,,,,16,5,5,16,16,16,16,62,,,16,16,16,16,,6,6,6,6,62,6,6,6,6,6,16,,5,5,5,,16,6,62,6,16,5,5,5
31,25,25,25,25,16,5,5,16,16,16,16,62,,,16,16,16,16,,6,6,6,6,62,6,6,6,6,6,16,,5,5,5,,16,6,62,6,16,5,5,5
31,,,,,16,5,5,16,16,16,16,62,,,16,16,16,16,,6,6,6,6,62,6,6,6,6,6,16,,5,5,5,,16,6,62,6,16,5,5,5
31,,,,,16,5,5,16,16,16,16,62,,,16,16,16,16,,6,6,6,6,62,6,6,6,6,6,16,,5,5,5,,16,6,62,6,16,5,5,5
31,,,,,16,5,5,16,16,16,16,62,,,16,16,16,16,,6,6,6,6,62,6,6,6,6,6,16,,5,5,5,,16,6,62,6,16,5,5,5
31,,,,,16,5,5,16,16,16,16,62,,,16,16,16,16,,6,6,6,6,62,6,6,6,6,6,16,,5,5,5,,16,6,62,6,16,5,5,5
31,25,25,25,25,16,5,5,16,16,16,16,62,,,16,16,16,16,,6,6,6,6,62,6,6,6,6,6,16,,5,5,5,,16,6,62,6,16,5,5,5
31,,,,,16,5,5,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,5,5,5
31,,,,,16,5,5,16,16,16,16,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,16,5,5,5
31,16,16,16,16,16,5,5,16,16,16,16,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,16,5,5,5
31,5,5,5,5,5,5,5,16,16,16,16,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,16,5,5,5
31,5,5,5,5,5,5,5,16,16,16,16,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,16,5,5,5
31,60,5,5,5,5,5,5,16,16,16,16,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,16,5,5,5
31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31
